"Index","BookNumber","BookName","BookShortName"
0,1,"1 Mose","1Mo"
1,2,"2 Mose","2Mo"
2,3,"3 Mose","3Mo"
3,4,"4 Mose","4Mo"
4,5,"5 Mose","5Mo"
5,6,"Josua","Jos"
6,7,"Richter","Ri"
7,8,"Ruth","Rut"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Könige","1Kö"
11,12,"2 Könige","2Kö"
12,13,"1 Chronik","1Chr"
13,14,"2 Chronik","2Chr"
14,15,"Esra","Esr"
15,16,"Nehemia","Neh"
16,17,"Ester","Est"
17,18,"Hiob","Hi"
18,19,"Psalm","Ps"
19,20,"Sprüche","Spr"
20,21,"Prediger","Pred"
21,22,"Hohelied","Hl"
22,23,"Jesaja","Jes"
23,24,"Jeremia","Jer"
24,25,"Klagelieder","Kla"
25,26,"Hesekiel","Hes"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joel","Joe"
29,30,"Amos","Am"
30,31,"Obadja","Ob"
31,32,"Jona","Jon"
32,33,"Micha","Mi"
33,34,"Nahum","Nah"
34,35,"Habakuk","Hab"
35,36,"Zephanja","Zeph"
36,37,"Haggai","Hagg"
37,38,"Sacharia","Zec"
38,39,"Malachi","Mal"
