"Index","BookNumber","BookName","BookShortName"
0,1,"1 Mose","1Mo"
1,2,"2 Mose","2Mo"
2,3,"3 Mose","3Mo"
3,4,"4 Mose","4Mo"
4,5,"5 Mose","5Mo"
5,6,"Josua","Jos"
6,7,"Richter","Ri"
7,8,"Rut","Rt"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Könige","1Kö"
11,12,"2 Könige","2Kö"
12,13,"1 Chronik","1Chr"
13,14,"2 Chronik","2Chr"
14,15,"Esra","Esr"
15,16,"Nehemia","Neh"
16,17,"Ester","Est"
17,18,"Hiob","Hi"
18,19,"Psalm","Ps"
19,20,"Sprüche","Spr"
20,21,"Prediger","Pred"
21,22,"Hohelied","Hl"
22,23,"Jesaja","Jes"
23,24,"Jeremia","Jer"
24,25,"Klagelieder","Kla"
25,26,"Hesekiel","Hes"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joel","Joe"
29,30,"Amos","Am"
30,32,"Jona","Jon"
31,33,"Micha","Mi"
32,34,"Nahum","Nah"
33,35,"Habakuk","Hab"
34,36,"Zephanja","Zeph"
35,37,"Haggai","Haggai"
36,38,"Sacharja","Sach"
37,39,"Maleachi","Mal"
38,40,"Matthäus","Mt"
39,41,"Markus","Mk"
40,42,"Lukas","Lk"
41,43,"Johannes","Joh"
42,44,"Apostelgeschichte","Apg"
43,45,"Römer","Röm"
44,46,"1 Korinther","1Kor"
45,47,"2 Korinther","2Kor"
46,48,"Galater","Gal"
47,49,"Epheser","Eph"
48,50,"Philipper","Phil"
49,51,"Kolosser","Kol"
50,52,"1 Thessalonicher","1Thes"
51,53,"2 Thessalonicher","2Thes"
52,54,"1 Timotheus","1Tim"
53,55,"2 Timotheus","2Tim"
54,56,"Titus","Tit"
55,58,"Hebräer","Hebr"
56,59,"Jakobus","Jak"
57,60,"1 Petrus","1Petr"
58,61,"2 Petrus","2Petr"
59,64,"3 Johannes","3Jo"
60,66,"Offenbarung","Offb"
