"Index","BookNumber","BookName","BookShortName"
0,1,"1 Mose","1Mo"
1,2,"2 Mose","2Mo"
2,3,"3 Mose","3Mo"
3,4,"4 Mose","4Mo"
4,5,"5 Mose","5Mo"
5,6,"Josua","Jos"
6,7,"Richter","Ri"
7,8,"Rut","Rt"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Könige","1Kö"
11,12,"2 Könige","2Kö"
12,13,"1 Chronik","1Chr"
13,14,"2 Chronik","2Chr"
14,15,"Esra","Esr"
15,16,"Nehemia","Neh"
16,17,"Ester","Est"
17,18,"Hiob","Hi"
18,19,"Psalm","Ps"
19,20,"Sprüche","Spr"
20,21,"Prediger","Pred"
21,22,"Hohelied","Hl"
22,23,"Jesaja","Jes"
23,24,"Jeremia","Jer"
24,25,"Klagelieder","Kla"
25,26,"Hesekiel","Hes"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joel","Joe"
29,30,"Amos","Am"
30,31,"Obadja","Ob"
31,32,"Jona","Jon"
32,33,"Micha","Mi"
33,34,"Nahum","Nah"
34,35,"Habakuk","Hab"
35,36,"Zephanja","Zeph"
36,37,"Haggai","Hagg"
37,38,"Sacharja","Sach"
38,39,"Maleachi","Mal"
39,40,"Matthäus","Mt"
40,41,"Markus","Mk"
41,42,"Lukas","Lk"
42,43,"Johannes","Joh"
43,44,"Apostelgeschichte","Apg"
44,45,"Römer","Röm"
45,46,"1 Korinther","1Kor"
46,47,"2 Korinther","2Kor"
47,48,"Galater","Gal"
48,49,"Epheser","Eph"
49,50,"Philipper","Phil"
50,51,"Kolosser","Kol"
51,52,"1 Thessalonicher","1Thes"
52,53,"2 Thessalonicher","2Thes"
53,54,"1 Timotheus","1Tim"
54,55,"2 Timotheus","2Tim"
55,56,"Titus","Tit"
56,57,"Philemon","Phim"
57,58,"Hebräer","Heb"
58,59,"Jakobus","Jak"
59,60,"1 Petrus","1Petr"
60,61,"2 Petrus","2Petr"
61,62,"1 Johannes","1Jo"
62,63,"2 Johannes","2Jo"
63,64,"3 Johannes","3Jo"
64,65,"Judas","Jud"
65,66,"Offenbarung","Offb"
