"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exod"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deut"
5,6,"Joshua","Josh"
6,7,"Judges","Judg"
7,8,"Ruth","Ruth"
8,9,"I Samuel","1Sam"
9,10,"II Samuel","2Sam"
10,11,"I Kings","1Kgs"
11,12,"II Kings","2Kgs"
12,13,"I Chronicles","1Chr"
13,14,"II Chronicles","1Chr"
14,15,"Ezra","Ezra"
15,16,"Nehemiah","Neh"
16,17,"Esther","Esth"
17,18,"Job","Job"
18,19,"Psalms","Ps"
19,20,"Proverbs","Prov"
20,21,"Ecclesiastes","Eccl"
21,22,"Song of Solomon","Song"
22,23,"Isaiah","Isa"
23,24,"Jeremiah","Jer"
24,25,"Lamentations","Lam"
25,26,"Ezekiel","Ezek"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joel","Joel"
29,30,"Amos","Amos"
30,31,"Obadiah","Obad"
31,32,"Jonah","Jonah"
32,33,"Micah","Mic"
33,34,"Nahum","Nah"
34,35,"Habakkuk","Hab"
35,36,"Zephaniah","Zeph"
36,37,"Haggai","Hag"
37,38,"Zechariah","Zech"
38,39,"Malachi","Mal"
