"Index","BookNumber","BookName","BookShortName"
0,1,"1 Mose","1Mo"
1,2,"2 Mose","2Mo"
2,3,"3 Mose","3Mo"
3,4,"4 Mose","4Mo"
4,5,"5 Mose","5Mo"
5,6,"Josua","Jos"
6,7,"Richter","Ri"
7,8,"Rut","Rt"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Könige","1Kö"
11,12,"2 Könige","2Kö"
12,13,"1 Chronik","1Chr"
13,14,"2 Chronik","2Chr"
14,15,"Esra","Esr"
15,16,"Nehemia","Neh"
16,17,"Ester","Est"
17,18,"Hiob","Hi"
18,19,"Psalm","Ps"
19,21,"Prediger","Pred"
20,23,"Jesaja","Jes"
21,24,"Jeremia","Jer"
22,25,"Klagelieder","Kla"
23,26,"Hesekiel","Hesekiel"
24,27,"Daniel","Dan"
25,28,"Hosea","Hos"
26,29,"Joel","Joe"
27,30,"Amos","Am"
28,31,"Obadja","Ob"
29,32,"Jona","Jon"
30,33,"Micha","Mi"
31,34,"Nahum","Nah"
32,35,"Habakuk","Hab"
33,36,"Zephanja","Zeph"
34,37,"Haggai","Haggai"
35,38,"Sacharja","Sach"
36,39,"Maleachi","Mal"
37,40,"Matthäus","Mt"
38,41,"Markus","Mk"
39,42,"Lukas","Lk"
40,43,"Johannes","Joh"
41,44,"Apostelgeschichte","Apg"
42,45,"Römer","Röm"
43,46,"1 Korinther","1Kor"
44,47,"2 Korinther","2Kor"
45,48,"Galater","Gal"
46,49,"Epheser","Eph"
47,50,"Philipper","Phil"
48,51,"Kolosser","Kol"
49,52,"1 Thessalonicher","1Thes"
50,53,"2 Thessalonicher","2Thes"
51,54,"1 Timotheus","1Tim"
52,55,"2 Timotheus","2Tim"
53,56,"Titus","Tit"
54,57,"Philemon","Phim"
55,58,"Hebräer","Hebr"
56,59,"Jakobus","Jak"
57,60,"1 Petrus","1Petr"
58,61,"2 Petrus","2Petr"
59,62,"1 Johannes","1Jo"
60,63,"2 Johannes","2Jo"
61,64,"3 Johannes","3Jo"
62,65,"Judas","Jud"
63,66,"Offenbarung","Offb"
