"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exo"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deu"
5,6,"Joshua","Jos"
6,7,"Judges","Jdg"
7,8,"Ruth","Rut"
8,9,"1 Samuel","1Sa"
9,10,"2 Samuel","2Sa"
10,11,"1 Kings","1Ki"
11,12,"2 Kings","2Ki"
12,13,"1 Chronicles","1Ch"
13,14,"2 Chronicles","2Ch"
14,15,"Ezra","Ezr"
15,16,"Nehemiah","Neh"
16,17,"Esther","Est"
17,18,"Job","Job"
18,19,"Psalm","Psa"
19,20,"Proverbs","Pro"
20,21,"Ecclesiastes","Ecc"
21,22,"Song of Solomon","Sol"
22,23,"Isaiah","Isa"
23,24,"Jeremiah","Jer"
24,25,"Lamentations","Lam"
25,26,"Ezekiel","Eze"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joel","Joe"
29,30,"Amos","Amo"
30,31,"Obadiah","Oba"
31,32,"Jonah","Jon"
32,33,"Micah","Mic"
33,34,"Nahum","Nah"
34,35,"Habakkuk","Hab"
35,36,"Zephaniah","Zep"
36,37,"Haggai","Hag"
37,38,"Zechariah","Zec"
38,39,"Malachi","Mal"
39,40,"Matthew","Mat"
40,41,"Mark","Mar"
41,42,"Luke","Luk"
42,43,"John","Joh"
43,44,"Acts","Act"
44,45,"Romans","Rom"
45,46,"1 Corinthians","1Co"
46,47,"2 Corinthians","2Co"
47,48,"Galatians","Gal"
48,49,"Ephesians","Eph"
49,50,"Philippians","Phi"
50,51,"Colossians","Col"
51,52,"1 Thessalonians","1Th"
52,53,"2 Thessalonians","2Th"
53,54,"1 Timothy","1Ti"
54,55,"2 Timothy","2Ti"
55,56,"Titus","Tit"
56,57,"Philemon","Phm"
57,58,"Hebrews","Heb"
58,59,"James","Jam"
59,60,"1 Peter","1Pe"
60,61,"2 Peter","2Pe"
61,62,"1 John","1Jo"
62,63,"2 John","2Jo"
63,64,"3 John","3Jo"
64,65,"Jude","Jud"
65,66,"Revelation","Rev"
