"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Ex"
2,3,"Levitikus","Lev"
3,4,"Numeri","Num"
4,5,"Deuteronomium","Dtn"
5,6,"Josua","Jos"
6,7,"Richter","Ri"
7,8,"Rut","Rut"
8,9,"1 Samuel","1 Sam"
9,10,"2 Samuel","2 Sam"
10,11,"1 Könige","1 Kön"
11,12,"2 Könige","2 Kön"
12,13,"1 Chronik","1 Chr"
13,14,"2 Chronik","2 Chr"
14,15,"Esra","Esra"
15,16,"Nehemia","Neh"
16,17,"Ester","Est"
17,18,"Ijob","Ijob"
18,19,"Psalmen","Ps"
19,20,"Sprüche","Spr"
20,21,"Kohelet","Koh"
21,22,"Hohelied","Hld"
22,23,"Jesaja","Jes"
23,24,"Jeremia","Jer"
24,25,"Klagelieder","Klgl"
25,26,"Ezechiel","Ez"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joël","Joël"
29,30,"Amos","Am"
30,31,"Obadja","Obd"
31,32,"Jona","Jona"
32,33,"Micha","Mi"
33,34,"Nahum","Nah"
34,35,"Habakuk","Hab"
35,36,"Zephanja","Zeph"
36,37,"Haggai","Hag"
37,38,"Sacharja","Sach"
38,39,"Maleachi","Mal"
39,40,"Matthäus","Mt"
40,41,"Markus","Mk"
41,42,"Lukas","Lk"
42,43,"Johannes","Joh"
43,44,"Apostelgeschichte","Apg"
44,45,"Römer","Röm"
45,46,"1 Korinther","1 Kor"
46,47,"2 Korinther","2 Kor"
47,48,"Galater","Gal"
48,49,"Epheser","Eph"
49,50,"Philipper","Phil"
50,51,"Kolosser","Kol"
51,52,"1 Thessalonicher","1 Thess"
52,53,"2 Thessalonicher","2 Thess"
53,54,"1 Timotheus","1 Tim"
54,55,"2 Timotheus","2 Tim"
55,56,"Titus","Tit"
56,57,"Philemon","Phlm"
57,58,"Hebräer","Hebr"
58,59,"Jakobus","Jak"
59,60,"1 Petrus","1 Petr"
60,61,"2 Petrus","2 Petr"
61,62,"1 Johannes","1 Joh"
62,63,"2 Johannes","2 Joh"
63,64,"3 Johannes","3 Joh"
64,65,"Judas","Jud"
65,66,"Offenbarung","Offb"
66,67,"Judit","Jdt"
67,68,"Weisheit","Weish"
68,69,"Tobit","Tob"
69,70,"Sirach","Sir"
70,71,"Baruch","Bar"
71,72,"1 Makkabäer","1 Makk"
72,73,"2 Makkabäer","2 Makk"
73,74,"xDaniel","xDan"
74,75,"xEster","xEst"
75,76,"Manasse","Man"
